cpu,client,run,core,usr,kernel,softirq,idle
36,1,1,24,0.00,3.85,3.85,92.31
36,1,1,25,0.00,4.00,3.00,93.00
36,1,1,26,0.00,2.97,1.98,95.05
36,1,1,27,0.00,2.02,2.02,95.96
36,1,1,28,0.00,2.02,1.01,96.97
36,1,1,29,0.00,1.03,2.06,96.91
36,1,1,30,0.00,2.00,1.00,97.00
36,1,1,31,0.00,3.96,0.00,96.04
36,1,1,32,0.00,2.02,2.02,95.96
36,1,1,33,0.00,3.03,2.02,94.95
36,1,1,34,0.00,2.02,1.01,96.97
36,1,1,35,0.00,1.02,0.00,98.98
36,1,1,-1,0.00,2.02,1.32,96.66
36,1,1,0,0.00,2.02,1.01,96.97
36,1,1,1,0.00,4.08,0.00,95.92
36,1,1,2,0.00,2.97,0.99,96.04
36,1,1,3,0.00,3.00,0.00,97.00
36,1,1,4,0.00,1.98,3.96,94.06
36,1,1,5,0.00,3.03,0.00,96.97
36,1,1,6,0.00,1.02,2.04,96.94
36,1,1,7,0.00,1.02,0.00,98.98
36,1,1,8,0.00,2.00,0.00,98.00
36,1,1,9,0.00,3.03,3.03,93.94
36,1,1,10,0.00,1.02,1.02,97.96
36,1,1,11,0.00,2.02,0.00,97.98
36,1,1,12,0.00,1.01,2.02,96.97
36,1,1,13,0.00,3.03,0.00,96.97
36,1,1,14,0.00,1.01,3.03,95.96
36,1,1,15,0.00,2.00,2.00,96.00
36,1,1,16,0.00,3.00,0.00,97.00
36,1,1,17,0.00,4.00,2.00,94.00
36,1,1,18,0.00,0.00,1.02,98.98
36,1,1,19,0.00,2.02,2.02,95.96
36,1,1,20,0.00,2.02,0.00,97.98
36,1,1,21,0.00,4.04,1.01,94.95
36,1,1,22,0.00,1.01,0.00,98.99
36,1,1,23,0.00,1.01,4.04,94.95
36,1,1,24,0.00,2.02,2.02,95.96
36,1,1,25,0.00,3.00,4.00,93.00
36,1,1,26,0.00,1.02,2.04,96.94
36,1,1,27,0.00,2.97,2.97,94.06
36,1,1,28,0.00,0.00,1.03,98.97
36,1,1,29,0.00,2.04,2.04,95.92
36,1,1,30,0.00,2.04,0.00,97.96
36,1,1,31,0.00,1.02,0.00,98.98
36,1,1,32,0.00,1.02,1.02,97.96
36,1,1,33,0.00,3.03,2.02,94.95
36,1,1,34,0.00,2.04,1.02,96.94
36,1,1,35,0.00,1.02,0.00,98.98
36,1,1,-1,0.03,1.99,1.15,96.83
36,1,1,0,0.00,0.00,2.04,97.96
36,1,1,1,0.00,2.06,0.00,97.94
36,1,1,2,0.00,2.97,0.99,96.04
36,1,1,3,0.00,3.00,0.00,97.00
36,1,1,4,0.00,2.00,4.00,94.00
36,1,1,5,0.00,3.06,0.00,96.94
36,1,1,6,0.00,1.01,2.02,96.97
36,1,1,7,0.00,1.01,0.00,98.99
36,1,1,8,0.00,1.02,0.00,98.98
36,1,1,9,0.00,3.03,2.02,94.95
36,1,1,10,0.00,2.02,0.00,97.98
36,1,1,11,0.00,2.02,0.00,97.98
36,1,1,12,0.00,1.02,0.00,98.98
36,1,1,13,0.00,2.06,0.00,97.94
36,1,1,14,0.00,0.00,3.03,96.97
36,1,1,15,0.00,1.02,0.00,98.98
36,1,1,16,0.00,2.02,0.00,97.98
36,1,1,17,0.00,3.03,2.02,94.95
36,1,1,18,0.00,2.02,0.00,97.98
36,1,1,19,0.00,2.00,2.00,96.00
36,1,1,20,0.00,2.00,1.00,97.00
36,1,1,21,0.00,3.06,1.02,95.92
36,1,1,22,0.00,2.02,0.00,97.98
36,1,1,23,0.00,1.01,4.04,94.95
36,1,1,24,0.00,2.97,1.98,95.05
36,1,1,25,1.00,4.00,3.00,92.00
36,1,1,26,0.00,3.03,0.00,96.97
36,1,1,27,0.00,1.02,2.04,96.94
36,1,1,28,0.00,1.01,2.02,96.97
36,1,1,29,0.00,2.04,2.04,95.92
36,1,1,30,0.00,2.02,0.00,97.98
36,1,1,31,0.00,3.96,0.00,96.04
36,1,1,32,0.00,1.98,2.97,95.05
36,1,1,33,0.00,2.04,2.04,95.92
36,1,1,34,0.00,2.02,1.01,96.97
36,1,1,35,0.00,1.02,0.00,98.98
36,1,1,-1,0.00,2.19,1.21,96.61
36,1,1,0,0.00,3.03,0.00,96.97
36,1,1,1,0.00,4.08,0.00,95.92
36,1,1,2,0.00,1.03,0.00,98.97
36,1,1,3,0.00,2.00,1.00,97.00
36,1,1,4,0.00,2.00,3.00,95.00
36,1,1,5,0.00,2.04,0.00,97.96
36,1,1,6,0.00,2.02,2.02,95.96
36,1,1,7,0.00,2.00,1.00,97.00
36,1,1,8,0.00,2.97,0.99,96.04
36,1,1,9,0.00,2.04,2.04,95.92
36,1,1,10,0.00,1.02,0.00,98.98
36,1,1,11,0.00,1.01,0.00,98.99
36,1,1,12,0.00,1.02,0.00,98.98
36,1,1,13,0.00,4.90,0.98,94.12
36,1,1,14,0.00,2.04,1.02,96.94
36,1,1,15,0.00,2.02,1.01,96.97
36,1,1,16,0.00,1.01,1.01,97.98
36,1,1,17,0.00,3.00,2.00,95.00
36,1,1,18,0.00,3.00,0.00,97.00
36,1,1,19,0.00,2.04,0.00,97.96
36,1,1,20,0.00,3.00,1.00,96.00
36,1,1,21,0.00,5.00,1.00,94.00
36,1,1,22,0.00,2.02,0.00,97.98
36,1,1,23,0.00,1.03,2.06,96.91
36,1,1,24,0.00,2.02,2.02,95.96
36,1,1,25,0.00,2.04,3.06,94.90
36,1,1,26,0.00,2.02,1.01,96.97
36,1,1,27,0.00,0.00,3.03,96.97
36,1,1,28,0.00,2.00,3.00,95.00
36,1,1,29,0.00,2.06,1.03,96.91
36,1,1,30,0.00,3.96,0.00,96.04
36,1,1,31,0.00,2.97,0.99,96.04
36,1,1,32,0.00,1.01,3.03,95.96
36,1,1,33,0.00,1.03,2.06,96.91
36,1,1,34,0.00,1.01,3.03,95.96
36,1,1,35,0.00,2.97,0.99,96.04
36,1,1,-1,0.00,1.74,1.29,96.97
36,1,1,0,0.00,3.00,1.00,96.00
36,1,1,1,0.00,2.06,0.00,97.94
36,1,1,2,0.00,1.01,1.01,97.98
36,1,1,3,0.00,2.02,0.00,97.98
36,1,1,4,0.00,0.00,4.08,95.92
36,1,1,5,0.00,3.03,0.00,96.97
36,1,1,6,0.00,1.00,3.00,96.00
36,1,1,7,0.00,1.02,0.00,98.98
36,1,1,8,0.00,1.02,0.00,98.98
36,1,1,9,0.00,3.06,1.02,95.92
36,1,1,10,0.00,2.02,0.00,97.98
36,1,1,11,0.00,1.02,0.00,98.98
36,1,1,12,0.00,3.96,0.00,96.04
36,1,1,13,0.00,2.04,1.02,96.94
36,1,1,14,0.00,0.00,1.03,98.97
36,1,1,15,0.00,1.01,1.01,97.98
36,1,1,16,0.00,2.02,0.00,97.98
36,1,1,17,0.00,3.06,1.02,95.92
36,1,1,18,0.00,2.02,0.00,97.98
36,1,1,19,0.00,3.00,2.00,95.00
36,1,1,20,0.00,1.02,0.00,98.98
36,1,1,21,0.00,2.00,4.00,94.00
36,1,1,22,0.00,0.00,1.01,98.99
36,1,1,23,0.00,2.02,3.03,94.95
36,1,1,24,0.00,1.01,2.02,96.97
36,1,1,25,0.00,2.02,4.04,93.94
36,1,1,26,0.00,2.00,2.00,96.00
36,1,1,27,0.00,2.97,2.97,94.06
36,1,1,28,0.00,2.02,1.01,96.97
36,1,1,29,0.00,1.03,2.06,96.91
36,1,1,30,0.00,1.02,0.00,98.98
36,1,1,31,0.00,1.02,0.00,98.98
36,1,1,32,0.00,1.98,2.97,95.05
36,1,1,33,0.00,2.02,3.03,94.95
36,1,1,34,0.00,2.00,2.00,96.00
36,1,1,35,0.00,1.01,0.00,98.99
36,1,1,-1,0.03,2.24,1.15,96.58
36,1,1,0,0.00,2.97,1.98,95.05
36,1,1,1,0.00,2.06,1.03,96.91
36,1,1,2,0.00,3.00,0.00,97.00
36,1,1,3,0.00,2.02,0.00,97.98
36,1,1,4,0.00,2.02,3.03,94.95
36,1,1,5,0.00,2.04,0.00,97.96
36,1,1,6,0.00,2.04,1.02,96.94
36,1,1,7,0.00,2.00,1.00,97.00
36,1,1,8,0.00,2.97,0.00,97.03
36,1,1,9,0.00,2.06,1.03,96.91
36,1,1,10,0.00,3.96,0.00,96.04
36,1,1,11,0.00,2.02,0.00,97.98
36,1,1,12,0.00,3.00,0.00,97.00
36,1,1,13,0.00,4.04,0.00,95.96
36,1,1,14,0.00,0.00,2.06,97.94
36,1,1,15,0.00,2.02,1.01,96.97
36,1,1,16,0.00,2.02,0.00,97.98
36,1,1,17,0.00,3.06,1.02,95.92
36,1,1,18,0.00,3.00,0.00,97.00
36,1,1,19,0.00,2.00,2.00,96.00
36,1,1,20,0.00,1.03,0.00,98.97
36,1,1,21,0.00,2.06,1.03,96.91
36,1,1,22,0.00,1.02,0.00,98.98
36,1,1,23,0.00,1.01,3.03,95.96
36,1,1,24,0.00,1.01,2.02,96.97
36,1,1,25,0.99,1.98,4.95,92.08
36,1,1,26,0.00,2.97,1.98,95.05
36,1,1,27,0.00,1.02,2.04,96.94
36,1,1,28,0.00,2.04,1.02,96.94
36,1,1,29,0.00,3.06,1.02,95.92
36,1,1,30,0.00,1.02,0.00,98.98
36,1,1,31,0.00,2.02,0.00,97.98
36,1,1,32,0.00,2.94,3.92,93.14
36,1,1,33,0.00,4.00,2.00,94.00
36,1,1,34,0.00,2.94,2.94,94.12
36,1,1,35,0.00,2.02,0.00,97.98
36,1,1,-1,0.03,2.15,1.37,96.45
36,1,1,0,0.00,2.04,0.00,97.96
36,1,1,1,0.00,2.08,0.00,97.92
36,1,1,2,0.00,1.01,1.01,97.98
36,1,1,3,0.00,2.02,0.00,97.98
36,1,1,4,0.00,2.00,3.00,95.00
36,1,1,5,0.00,3.00,1.00,96.00
36,1,1,6,0.00,2.94,2.94,94.12
36,1,1,7,0.00,1.01,0.00,98.99
36,1,1,8,0.00,3.92,0.98,95.10
36,1,1,9,0.00,3.03,2.02,94.95
36,1,1,10,0.00,2.02,0.00,97.98
36,1,1,11,0.00,2.02,0.00,97.98
36,1,1,12,0.00,3.00,0.00,97.00
36,1,1,13,0.00,2.02,1.01,96.97
36,1,1,14,0.00,2.02,1.01,96.97
36,1,1,15,0.00,2.91,2.91,94.17
36,1,1,16,0.00,2.02,0.00,97.98
36,1,1,17,0.00,2.02,3.03,94.95
36,1,1,18,0.00,1.02,0.00,98.98
36,1,1,19,0.00,1.01,2.02,96.97
36,1,1,20,0.00,1.00,2.00,97.00
36,1,1,21,0.00,3.00,3.00,94.00
36,1,1,22,0.00,1.02,0.00,98.98
36,1,1,23,0.00,2.02,3.03,94.95
36,1,1,24,0.00,2.02,2.02,95.96
36,1,1,25,0.00,2.06,3.09,94.85
36,1,1,26,1.00,2.00,2.00,95.00
36,1,1,27,0.00,2.02,1.01,96.97
36,1,1,28,0.00,3.00,1.00,96.00
36,1,1,29,0.00,2.00,3.00,95.00
36,1,1,30,0.00,3.00,0.00,97.00
36,1,1,31,0.00,3.00,0.00,97.00
36,1,1,32,0.00,2.94,2.94,94.12
36,1,1,33,0.00,2.04,2.04,95.92
36,1,1,34,0.00,1.01,3.03,95.96
36,1,1,35,0.00,2.02,0.00,97.98
36,1,1,-1,0.03,2.19,1.07,96.71
36,1,1,0,0.00,2.00,2.00,96.00
36,1,1,1,0.00,4.08,0.00,95.92
36,1,1,2,0.00,3.03,0.00,96.97
36,1,1,3,0.00,2.97,0.00,97.03
36,1,1,4,0.00,2.04,2.04,95.92
36,1,1,5,0.00,3.06,0.00,96.94
36,1,1,6,0.00,0.00,1.04,98.96
36,1,1,7,0.00,2.02,0.00,97.98
36,1,1,8,0.00,2.02,0.00,97.98
36,1,1,9,0.00,3.06,1.02,95.92
36,1,1,10,0.00,3.00,0.00,97.00
36,1,1,11,0.00,1.02,0.00,98.98
36,1,1,12,0.00,2.02,1.01,96.97
36,1,1,13,0.00,2.06,0.00,97.94
36,1,1,14,0.00,1.01,2.02,96.97
36,1,1,15,0.00,3.03,0.00,96.97
36,1,1,16,0.00,1.02,0.00,98.98
36,1,1,17,0.00,4.00,2.00,94.00
36,1,1,18,0.00,3.96,0.00,96.04
36,1,1,19,0.00,0.00,1.04,98.96
36,1,1,20,0.00,1.02,1.02,97.96
36,1,1,21,0.00,2.06,1.03,96.91
36,1,1,22,0.00,2.02,0.00,97.98
36,1,1,23,0.00,2.00,4.00,94.00
36,1,1,24,0.00,0.99,3.96,95.05
36,1,1,25,0.00,3.03,3.03,93.94
36,1,1,26,0.00,1.00,3.00,96.00
36,1,1,27,0.00,2.04,1.02,96.94
36,1,1,28,1.01,2.02,1.01,95.96
36,1,1,29,0.00,3.96,2.97,93.07
36,1,1,30,0.00,2.04,0.00,97.96
36,1,1,31,0.00,1.01,0.00,98.99
36,1,1,32,0.00,2.00,2.00,96.00
36,1,1,33,0.00,3.06,1.02,95.92
36,1,1,34,0.00,3.00,1.00,96.00
36,1,1,35,0.00,2.00,1.00,97.00
36,1,1,-1,0.03,2.10,1.29,96.58
36,1,1,0,0.00,0.00,1.03,98.97
36,1,1,1,0.00,4.08,0.00,95.92
36,1,1,2,0.00,1.98,1.98,96.04
36,1,1,3,0.00,3.00,0.00,97.00
36,1,1,4,0.00,1.02,3.06,95.92
36,1,1,5,0.00,1.03,0.00,98.97
36,1,1,6,0.00,1.98,2.97,95.05
36,1,1,7,0.00,0.00,1.02,98.98
36,1,1,8,0.00,2.02,0.00,97.98
36,1,1,9,0.00,5.00,1.00,94.00
36,1,1,10,0.00,1.01,1.01,97.98
36,1,1,11,0.00,2.97,0.99,96.04
36,1,1,12,0.00,1.02,0.00,98.98
36,1,1,13,0.00,3.06,0.00,96.94
36,1,1,14,0.00,1.01,3.03,95.96
36,1,1,15,0.00,1.01,1.01,97.98
36,1,1,16,0.00,2.02,0.00,97.98
36,1,1,17,0.00,4.04,1.01,94.95
36,1,1,18,0.00,1.02,0.00,98.98
36,1,1,19,0.00,2.02,1.01,96.97
36,1,1,20,0.00,2.00,1.00,97.00
36,1,1,21,0.00,4.00,2.00,94.00
36,1,1,22,0.00,2.00,1.00,97.00
36,1,1,23,0.00,1.01,4.04,94.95
36,1,1,24,0.00,1.02,2.04,96.94
36,1,1,25,0.98,3.92,4.90,90.20
36,1,1,26,0.00,3.03,1.01,95.96
36,1,1,27,0.00,3.03,1.01,95.96
36,1,1,28,0.00,0.00,2.04,97.96
36,1,1,29,0.00,2.04,2.04,95.92
36,1,1,30,0.00,3.00,0.00,97.00
36,1,1,31,0.00,2.02,0.00,97.98
36,1,1,32,0.00,3.92,2.94,93.14
36,1,1,33,0.00,2.08,1.04,96.88
36,1,1,34,0.00,1.02,2.04,96.94
36,1,1,35,0.00,2.02,0.00,97.98
36,1,1,-1,0.00,2.24,1.01,96.75
36,1,1,0,0.00,3.03,0.00,96.97
36,1,1,1,0.00,2.04,1.02,96.94
36,1,1,2,0.00,1.02,0.00,98.98
36,1,1,3,0.00,3.00,0.00,97.00
36,1,1,4,0.00,1.02,2.04,96.94
36,1,1,5,0.00,4.04,0.00,95.96
36,1,1,6,0.00,2.00,3.00,95.00
36,1,1,7,0.00,1.01,0.00,98.99
36,1,1,8,0.00,1.01,0.00,98.99
36,1,1,9,0.00,4.04,1.01,94.95
36,1,1,10,0.00,2.02,0.00,97.98
36,1,1,11,0.00,2.02,0.00,97.98
36,1,1,12,0.00,2.02,0.00,97.98
36,1,1,13,0.00,2.04,1.02,96.94
36,1,1,14,0.00,0.99,3.96,95.05
36,1,1,15,0.00,3.00,1.00,96.00
36,1,1,16,0.00,3.88,1.94,94.17
36,1,1,17,0.00,3.03,1.01,95.96
36,1,1,18,0.00,2.00,0.00,98.00
36,1,1,19,0.00,1.02,1.02,97.96
36,1,1,20,0.00,3.00,0.00,97.00
36,1,1,21,0.00,4.08,0.00,95.92
36,1,1,22,0.00,2.00,0.00,98.00
36,1,1,23,0.00,1.02,3.06,95.92
36,1,1,24,0.00,2.00,2.00,96.00
36,1,1,25,0.00,3.06,2.04,94.90
36,1,1,26,0.00,3.00,1.00,96.00
36,1,1,27,0.00,3.00,2.00,95.00
36,1,1,28,0.00,1.03,1.03,97.94
36,1,1,29,0.00,2.04,2.04,95.92
36,1,1,30,0.00,2.02,0.00,97.98
36,1,1,31,0.00,3.00,0.00,97.00
36,1,1,32,0.00,0.00,2.04,97.96
36,1,1,33,0.00,2.04,2.04,95.92
36,1,1,34,0.00,2.02,2.02,95.96
36,1,1,35,0.00,2.97,0.00,97.03
36,1,1,-1,0.00,2.32,1.23,96.45
36,1,1,0,0.00,3.96,0.99,95.05
36,1,1,1,0.00,4.08,0.00,95.92
36,1,1,2,0.00,2.00,1.00,97.00
36,1,1,3,0.00,3.00,0.00,97.00
36,1,1,4,0.00,1.98,4.95,93.07
36,1,1,5,0.00,3.03,0.00,96.97
36,1,1,6,0.00,1.98,2.97,95.05
36,1,1,7,0.00,1.02,0.00,98.98
36,1,1,8,0.00,1.02,0.00,98.98
36,1,1,9,0.00,3.03,2.02,94.95
36,1,1,10,0.00,3.00,0.00,97.00
36,1,1,11,0.00,2.02,0.00,97.98
36,1,1,12,0.00,2.97,0.00,97.03
36,1,1,13,0.00,4.00,0.00,96.00
36,1,1,14,0.00,1.01,2.02,96.97
36,1,1,15,0.00,1.03,0.00,98.97
36,1,1,16,0.00,2.02,0.00,97.98
36,1,1,17,0.00,3.03,1.01,95.96
36,1,1,18,0.00,2.00,1.00,97.00
36,1,1,19,0.00,0.00,1.03,98.97
36,1,1,20,0.00,2.00,1.00,97.00
36,1,1,21,0.00,3.00,2.00,95.00
36,1,1,22,0.00,2.02,0.00,97.98
36,1,1,23,0.00,3.88,4.85,91.26
36,1,1,24,0.00,2.00,3.00,95.00
36,1,1,25,0.00,3.06,1.02,95.92
36,1,1,26,0.00,2.97,1.98,95.05
36,1,1,27,0.00,0.00,3.03,96.97
36,1,1,28,0.00,2.94,2.94,94.12
36,1,1,29,0.00,2.04,2.04,95.92
36,1,1,30,0.00,3.00,0.00,97.00
36,1,1,31,0.00,2.02,0.00,97.98
36,1,1,32,0.00,0.00,3.03,96.97
36,1,1,33,0.00,4.04,1.01,94.95
36,1,1,34,0.00,3.00,1.00,96.00
36,1,1,35,0.00,1.02,0.00,98.98
36,1,1,-1,0.00,2.16,1.15,96.69
36,1,1,0,0.00,2.02,1.01,96.97
36,1,1,1,0.00,3.06,0.00,96.94
36,1,1,2,0.00,1.02,1.02,97.96
36,1,1,3,0.00,1.02,0.00,98.98
36,1,1,4,0.00,1.96,4.90,93.14
36,1,1,5,0.00,3.03,0.00,96.97
36,1,1,6,0.00,2.97,1.98,95.05
36,1,1,7,0.00,2.02,0.00,97.98
36,1,1,8,0.00,2.02,0.00,97.98
36,1,1,9,0.00,2.02,2.02,95.96
36,1,1,10,0.00,2.97,0.99,96.04
36,1,1,11,0.00,0.00,0.00,100.00
36,1,1,12,0.00,3.00,0.00,97.00
36,1,1,13,0.00,4.04,0.00,95.96
36,1,1,14,0.00,2.00,2.00,96.00
36,1,1,15,0.00,1.00,2.00,97.00
36,1,1,16,0.00,3.96,0.00,96.04
36,1,1,17,0.00,3.06,1.02,95.92
36,1,1,18,0.00,2.00,1.00,97.00
36,1,1,19,0.00,1.02,1.02,97.96
36,1,1,20,0.00,2.97,0.99,96.04
36,1,1,21,0.00,2.06,1.03,96.91
36,1,1,22,0.00,2.00,0.00,98.00
36,1,1,23,0.00,2.97,2.97,94.06
36,1,1,24,0.00,2.02,1.01,96.97
36,1,1,25,0.00,4.04,3.03,92.93
36,1,1,26,0.00,1.00,2.00,97.00
36,1,1,27,0.00,2.00,3.00,95.00
36,1,1,28,0.00,2.00,2.00,96.00
36,1,1,29,0.00,2.06,1.03,96.91
36,1,1,30,0.00,2.02,0.00,97.98
36,1,1,31,0.00,2.02,0.00,97.98
36,1,1,32,0.00,2.02,2.02,95.96
36,1,1,33,0.00,2.06,1.03,96.91
36,1,1,34,0.00,0.00,2.06,97.94
36,1,1,35,0.00,2.02,0.00,97.98
36,1,1,-1,0.03,1.94,1.15,96.89
36,1,1,0,0.00,2.00,2.00,96.00
36,1,1,1,0.00,4.08,0.00,95.92
36,1,1,2,0.00,3.00,0.00,97.00
36,1,1,3,0.00,2.97,0.99,96.04
36,1,1,4,0.00,1.02,3.06,95.92
36,1,1,5,0.00,3.03,0.00,96.97
36,1,1,6,0.00,0.00,3.03,96.97
36,1,1,7,0.00,1.00,1.00,98.00
36,1,1,8,0.00,1.02,0.00,98.98
36,1,1,9,0.00,3.06,1.02,95.92
36,1,1,10,0.00,1.02,0.00,98.98
36,1,1,11,0.00,3.92,0.98,95.10
36,1,1,12,0.00,1.01,1.01,97.98
36,1,1,13,0.00,3.03,0.00,96.97
36,1,1,14,0.00,2.02,2.02,95.96
36,1,1,15,0.00,2.02,0.00,97.98
36,1,1,16,0.00,1.02,0.00,98.98
36,1,1,17,0.00,2.02,2.02,95.96
36,1,1,18,0.00,1.02,0.00,98.98
36,1,1,19,0.00,2.02,1.01,96.97
36,1,1,20,0.00,2.04,0.00,97.96
36,1,1,21,0.00,4.00,2.00,94.00
36,1,1,22,0.00,2.02,0.00,97.98
36,1,1,23,0.00,2.02,3.03,94.95
36,1,1,24,0.00,1.02,1.02,97.96
36,1,1,25,1.00,2.00,4.00,93.00
36,1,1,26,0.00,1.02,1.02,97.96
36,1,1,27,0.00,1.01,2.02,96.97
36,1,1,28,0.00,2.02,1.01,96.97
36,1,1,29,0.00,2.04,1.02,96.94
36,1,1,30,0.00,2.97,0.99,96.04
36,1,1,31,0.00,0.00,0.00,100.00
36,1,1,32,0.00,1.00,3.00,96.00
36,1,1,33,0.00,1.03,2.06,96.91
36,1,1,34,0.00,2.00,2.00,96.00
36,1,1,35,0.00,2.97,0.00,97.03
36,1,1,-1,0.00,2.21,1.23,96.55
36,1,1,0,0.00,3.03,0.00,96.97
36,1,1,1,0.00,2.04,1.02,96.94
36,1,1,2,0.00,2.02,0.00,97.98
36,1,1,3,0.00,2.02,0.00,97.98
36,1,1,4,0.00,1.00,4.00,95.00
36,1,1,5,0.00,1.02,1.02,97.96
36,1,1,6,0.00,2.00,3.00,95.00
36,1,1,7,0.00,2.02,0.00,97.98
36,1,1,8,0.00,2.02,0.00,97.98
36,1,1,9,0.00,3.00,3.00,94.00
36,1,1,10,0.00,1.02,0.00,98.98
36,1,1,11,0.00,2.02,0.00,97.98
36,1,1,12,0.00,3.00,0.00,97.00
36,1,1,13,0.00,2.04,1.02,96.94
36,1,1,14,0.00,3.92,1.96,94.12
36,1,1,15,0.00,3.00,1.00,96.00
36,1,1,16,0.00,1.01,1.01,97.98
36,1,1,17,0.00,2.06,1.03,96.91
36,1,1,18,0.00,1.01,0.00,98.99
36,1,1,19,0.00,1.03,1.03,97.94
36,1,1,20,0.00,3.00,0.00,97.00
36,1,1,21,0.00,4.90,1.96,93.14
36,1,1,22,0.00,2.02,0.00,97.98
36,1,1,23,0.00,1.98,3.96,94.06
36,1,1,24,0.00,2.02,2.02,95.96
36,1,1,25,0.00,3.06,2.04,94.90
36,1,1,26,0.00,2.02,1.01,96.97
36,1,1,27,0.00,4.00,1.00,95.00
36,1,1,28,0.00,2.02,2.02,95.96
36,1,1,29,0.00,3.03,3.03,93.94
36,1,1,30,0.00,1.03,0.00,98.97
36,1,1,31,0.00,3.96,0.00,96.04
36,1,1,32,0.00,0.00,4.95,95.05
36,1,1,33,0.00,2.06,1.03,96.91
36,1,1,34,0.00,1.02,2.04,96.94
36,1,1,35,0.00,3.00,0.00,97.00
36,1,1,-1,0.00,2.10,1.09,96.80
36,1,1,0,0.00,1.02,1.02,97.96
36,1,1,1,0.00,4.08,0.00,95.92
36,1,1,2,0.00,2.00,1.00,97.00
36,1,1,3,0.00,1.02,0.00,98.98
36,1,1,4,0.00,1.03,2.06,96.91
36,1,1,5,0.00,3.03,0.00,96.97
36,1,1,6,0.00,2.02,1.01,96.97
36,1,1,7,0.00,1.02,0.00,98.98
36,1,1,8,0.00,2.00,0.00,98.00
36,1,1,9,0.00,2.02,3.03,94.95
36,1,1,10,0.00,2.04,0.00,97.96
36,1,1,11,0.00,2.02,0.00,97.98
36,1,1,12,0.00,3.00,0.00,97.00
36,1,1,13,0.00,4.00,0.00,96.00
36,1,1,14,0.00,2.04,1.02,96.94
36,1,1,15,0.00,1.02,1.02,97.96
36,1,1,16,0.00,3.00,0.00,97.00
36,1,1,17,0.00,2.04,2.04,95.92
36,1,1,18,0.00,3.00,0.00,97.00
36,1,1,19,0.00,1.00,3.00,96.00
36,1,1,20,0.00,2.97,0.99,96.04
36,1,1,21,0.00,4.04,1.01,94.95
36,1,1,22,0.00,1.01,0.00,98.99
36,1,1,23,0.00,2.02,3.03,94.95
36,1,1,24,0.00,2.02,1.01,96.97
36,1,1,25,0.00,3.09,2.06,94.85
36,1,1,26,0.00,1.01,2.02,96.97
36,1,1,27,0.00,1.02,2.04,96.94
36,1,1,28,0.00,2.00,2.00,96.00
36,1,1,29,0.00,2.97,2.97,94.06
36,1,1,30,0.00,1.02,0.00,98.98
36,1,1,31,0.00,3.00,0.00,97.00
36,1,1,32,0.00,1.01,3.03,95.96
36,1,1,33,0.00,4.04,1.01,94.95
36,1,1,34,0.00,1.00,3.00,96.00
36,1,1,35,0.00,1.02,0.00,98.98
36,1,1,-1,0.00,1.94,1.13,96.93
36,1,1,0,0.00,2.02,1.01,96.97
36,1,1,1,0.00,5.05,0.00,94.95
36,1,1,2,0.00,0.00,2.04,97.96
36,1,1,3,0.00,1.00,1.00,98.00
36,1,1,4,0.00,1.00,5.00,94.00
36,1,1,5,0.00,1.04,0.00,98.96
36,1,1,6,0.00,2.04,1.02,96.94
36,1,1,7,0.00,2.97,0.00,97.03
36,1,1,8,0.00,3.96,0.00,96.04
36,1,1,9,0.00,3.06,1.02,95.92
36,1,1,10,0.00,2.02,0.00,97.98
36,1,1,11,0.00,2.02,0.00,97.98
36,1,1,12,0.00,1.02,1.02,97.96
36,1,1,13,0.00,0.00,0.00,100.00
36,1,1,14,0.00,2.00,2.00,96.00
36,1,1,15,0.00,2.97,0.99,96.04
36,1,1,16,0.00,2.00,1.00,97.00
36,1,1,17,0.00,2.06,1.03,96.91
36,1,1,18,0.00,1.02,0.00,98.98
36,1,1,19,0.00,1.03,0.00,98.97
36,1,1,20,0.00,1.01,2.02,96.97
36,1,1,21,0.00,3.06,1.02,95.92
36,1,1,22,0.00,1.02,0.00,98.98
36,1,1,23,0.00,0.00,4.08,95.92
36,1,1,24,0.00,0.00,2.04,97.96
36,1,1,25,0.00,4.00,3.00,93.00
36,1,1,26,0.00,2.00,2.00,96.00
36,1,1,27,0.00,3.00,2.00,95.00
36,1,1,28,0.00,2.04,0.00,97.96
36,1,1,29,0.00,2.06,1.03,96.91
36,1,1,30,0.00,3.96,0.00,96.04
36,1,1,31,0.00,1.01,1.01,97.98
36,1,1,32,0.00,2.04,0.00,97.96
36,1,1,33,0.00,3.03,2.02,94.95
36,1,1,34,0.00,2.02,2.02,95.96
36,1,1,35,0.00,1.01,1.01,97.98
36,1,1,-1,0.00,1.99,1.09,96.91
36,1,1,0,0.00,1.01,2.02,96.97
36,1,1,1,0.00,3.06,0.00,96.94
36,1,1,2,0.00,2.02,0.00,97.98
36,1,1,3,0.00,3.00,0.00,97.00
36,1,1,4,0.00,2.00,3.00,95.00
36,1,1,5,0.00,4.00,0.00,96.00
36,1,1,6,0.00,3.00,1.00,96.00
36,1,1,7,0.00,1.02,0.00,98.98
36,1,1,8,0.00,0.00,1.01,98.99
36,1,1,9,0.00,3.96,1.98,94.06
36,1,1,10,0.00,2.02,0.00,97.98
36,1,1,11,0.00,2.02,0.00,97.98
36,1,1,12,0.00,2.02,0.00,97.98
